Brand,model,Year,kmDriven,Transmission,Owner,FuelType,PostedDate,AdditionInfo,AskPrice,car_age,km_per_year
Honda,City,2006.5,98000.0,Manual,second,Petrol,Nov-24,"Honda City v teck in mint condition, valid genuine car,",195000,19.5,4780.487804878048
Toyota,Innova,2009.0,150009.5,Manual,second,Diesel,Jul-24,"Toyota Innova 2.5 G (Diesel) 7 Seater, 2009, Diesel",375000,17.0,8333.861111111111
Volkswagen,VentoTest,2010.0,77246.0,Manual,first,Diesel,Nov-24,"Volkswagen Vento 2010-2013 Diesel Breeze, 2010, Diesel",184999,16.0,4543.882352941177
Maruti Suzuki,Swift,2017.0,83500.0,Manual,second,Diesel,Nov-24,Maruti Suzuki Swift 2017 Diesel Good Condition,565000,9.0,8350.0
Maruti Suzuki,Baleno,2019.0,45000.0,Automatic,first,Petrol,Nov-24,"Maruti Suzuki Baleno Alpha CVT, 2019, Petrol",685000,7.0,5625.0
BMW,X3,2014.0,83000.0,Automatic,first,Diesel,Nov-24,"BMW X3 2.0 XDRIVE 20D, 2014, Diesel",1350000,12.0,6384.615384615385
Toyota,Innova,2014.0,150009.5,Manual,second,Diesel,Nov-24,"Toyota Innova 2.5 VX 8 Seater BS IV, 2014, Diesel",1025000,12.0,11539.192307692309
BMW,5 Series,2019.0,25000.0,Automatic,second,Diesel,Nov-24,"BMW 5 Series 3.0 530D M Sport, 2019, Diesel",5950000,7.0,3125.0
Maruti Suzuki,maruti-suzuki-dzire,2020.0,33759.0,Manual,second,Petrol,Nov-24,"Maruti Suzuki Dzire 1.2 VXI, 2020, Petrol",622000,6.0,4822.714285714285
Ford,Ecosport,2017.0,69713.0,Manual,second,Petrol,Nov-24,"Ford Ecosport 1.5 Ti VCT MT Titanium BE, 2017, Petrol",649000,9.0,6971.3
Maruti Suzuki,Alto-K10,2018.0,70000.0,Automatic,first,Petrol,Nov-24,"Maruti Suzuki Alto K10 VXI Airbag, 2018, Petrol",395000,8.0,7777.777777777777
Kia,Carnival,2021.0,25000.0,Automatic,first,Diesel,Nov-24,"Kia Carnival Premium 8 STR, 2021, Diesel",2900000,5.0,4166.666666666667
Maruti Suzuki,Swift-Dzire,2012.0,72700.0,Manual,second,Petrol,Nov-24,"Maruti Suzuki Swift Dzire VXI 1.2, 2012, Petrol",240000,14.0,4846.666666666667
Toyota,Corolla,2007.0,121931.0,Automatic,second,Petrol,Nov-24,Top End Fully Loaded Automatic  Corolla with  Advanced Seq. CNG,201350,19.0,6096.55
Mercedes-Benz,GLE COUPE,2021.0,32000.0,Automatic,second,Petrol,Oct-24,"Mercedes-Benz GLE COUPE 3.0 53 AMG 4MATIC Plus, 2021, Petrol",11800000,5.0,5333.333333333333
Hyundai,Xcent,2018.0,130000.0,Manual,second,Diesel,Nov-24,"Hyundai Xcent S 1.2 OPT, 2018, Diesel",330000,8.0,14444.444444444445
Kia,Seltos,2020.0,68000.0,Manual,first,Diesel,Oct-24,"Kia Seltos HTK Plus D, 2020, Diesel",1045000,6.0,9714.285714285714
Maruti Suzuki,Ertiga,2016.0,65000.0,Manual,second,Diesel,Nov-24,"Maruti Suzuki Ertiga VDI SHVS, 2016, Diesel",785000,10.0,5909.090909090909
Maruti Suzuki,Ertiga,2017.0,59000.0,Automatic,second,Petrol,Nov-24,Maruti Suzuki Ertiga 2017 Petrol 59000 Km Driven,555000,9.0,5900.0
BMW,3 Series GT,2015.0,61000.0,Automatic,second,Diesel,Nov-24,"BMW 3 Series GT 320d Luxury Line, 2015, Diesel",1500000,11.0,5083.333333333333
Ford,Endeavour,2019.0,77000.0,Automatic,second,Diesel,Nov-24,"Ford Endeavour 2.2 Titanium AT 4X2, 2019, Diesel",2399000,7.0,9625.0
Toyota,Innova Crysta,2017.0,107000.0,Automatic,first,Diesel,Nov-24,"Toyota Innova Crysta 2.8Z Automatic, 2017, Diesel",1325000,9.0,10700.0
Honda,City,2010.0,99000.0,Manual,first,Petrol,Nov-24,"Honda City S MT, 2010, Petrol",295000,16.0,5823.529411764706
Audi,A3,2015.0,42000.0,Automatic,second,Diesel,Nov-24,"Audi A3 2.0 35 TDI Attraction, 2015, Diesel",1050000,11.0,3500.0
Renault,KWID,2019.0,48073.0,Automatic,second,Petrol,Nov-24,"Renault KWID RXT AMT Climber (Automatic), 2019, Petrol",355000,7.0,6009.125
MG,Hector,2019.0,32618.0,Automatic,first,Petrol,Oct-24,"MG Hector, 2019, Petrol",1250000,7.0,4077.25
